Num,Title,Actors [4],Director,Genre,Year
32,Raiders of the Lost Ark,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",Steven Spielberg,Action,1981
33,The Pianist,"Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",Roman Polanski,Biography,2002
34,Rear Window,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",Alfred Hitchcock,Mystery,1954
35,The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",Martin Scorsese,Crime,2006
36,Whiplash,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",Damien Chazelle,Drama,2014
37,Terminator 2: Judgment Day,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",James Cameron,Action,1991
38,Back to the Future,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",Robert Zemeckis,Adventure,1985
39,Gladiator,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott,Action,2000
40,The Lion King,"Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings","Roger Allers, Rob Minkoff",Animation,1994
41,The Prestige,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo",Christopher Nolan,Drama,2006
42,Apocalypse Now,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest",Francis Ford Coppola,Drama,1979
43,Memento,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",Christopher Nolan,Mystery,2000
44,The Great Dictator,"Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell",Charles Chaplin,Comedy,1940
45,Sunset Boulevard,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",Billy Wilder,Drama,1950
46,Alien,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton",Ridley Scott,Horror,1979
47,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",Stanley Kubrick,Comedy,1964
48,Paths of Glory,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",Stanley Kubrick,Drama,1957
49,Django Unchained,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",Quentin Tarantino,Drama,2012
50,The Shining,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",Stanley Kubrick,Drama,1980
51,Witness for the Prosecution,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",Billy Wilder,Crime,1957
52,The Dark Knight Rises,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",Christopher Nolan,Action,2012
53,WALL·E,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",Andrew Stanton,Animation,2008
54,American Beauty,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",Sam Mendes,Drama,1999
55,Once Upon a Time in America,"Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci",Sergio Leone,Crime,1984
56,Aliens,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",James Cameron,Action,1986
57,Citizen Kane,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick",Orson Welles,Drama,1941
58,North by Northwest,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",Alfred Hitchcock,Action,1959
59,Vertigo,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",Alfred Hitchcock,Mystery,1958
60,Star Wars: Episode VI - Return of the Jedi,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Richard Marquand,Action,1983
61,Braveheart,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",Mel Gibson,Biography,1995
62,Reservoir Dogs,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",Quentin Tarantino,Crime,1992
63,Double Indemnity,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",Billy Wilder,Crime,1944
64,Requiem for a Dream,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",Darren Aronofsky,Drama,2000
65,Lawrence of Arabia,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",David Lean,Adventure,1962
66,The Kid,"Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin",Charles Chaplin,Comedy,1921
67,A Clockwork Orange,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",Stanley Kubrick,Crime,1971
68,Amadeus,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",Milos Forman,Biography,1984
69,To Kill a Mockingbird,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",Robert Mulligan,Crime,1962
70,Eternal Sunshine of the Spotless Mind,"Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood",Michel Gondry,Drama,2004
71,Singin' in the Rain,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen","Stanley Donen, Gene Kelly",Comedy,1952
72,Taxi Driver,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito",Martin Scorsese,Crime,1976
73,The Sting,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",George Roy Hill,Comedy,1973
74,Toy Story 3,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Lee Unkrich,Animation,2010
75,2001: A Space Odyssey,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",Stanley Kubrick,Adventure,1968
76,Full Metal Jacket,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey",Stanley Kubrick,Drama,1987
77,Baby Driver,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",Edgar Wright,Action,2017
78,Toy Story,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",John Lasseter,Animation,1995
79,Inglourious Basterds,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","Quentin Tarantino, Eli Roth",Adventure,2009
80,Snatch,"Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt",Guy Ritchie,Comedy,2000
81,The Apartment,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",Billy Wilder,Comedy,1960
82,All About Eve,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",Joseph L. Mankiewicz,Drama,1950
